

Fri Nov 13 17:06:40 2015

 S: 0-newly connected, 1-reconnected with new ip, 2-still connected.
 -------------------------+----+---+-------------------+------------------
        date & time       | id | S |        MAC        |         IP
 Fri Nov 13 23:22:43 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:23:45 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:24:45 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:25:46 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:26:48 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:27:51 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:28:49 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:29:51 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:30:52 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:31:52 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:32:53 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:33:54 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:34:55 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:35:56 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:36:57 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
